name,location,cuisines,votes,rating,cost_for_two
Biryani Knights,JP Nagar,Biryani,21,3.6,300.0
NEW SUNRISE RESTAURANTS,JP Nagar,"North Indian, Chinese, Biryani",39,2.7,500.0
The Maori - Aurick Boutique Hotel,JP Nagar,"Chinese, North Indian",44,3.5,1000.0
Singh Da Dhaba,BTM,North Indian,5,3.3,400.0
Amaravati Grand,BTM,"Chinese, Andhra, Mangalorean",7,3.4,550.0
Sea Horse,JP Nagar,"Seafood, Chinese, South Indian, North Indian",9,3.4,500.0
Nati Biriyani Mane,JP Nagar,"Biryani, South Indian",4,3.2,200.0
Night Panda,JP Nagar,"Fast Food, North Indian, Chinese",39,2.9,500.0
North Indian Meals,JP Nagar,North Indian,5,3.2,300.0
E2 - EntrÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©e Envoy,BTM,"Chinese, North Indian, Biryani",13,3.5,550.0
BongHomie,BTM,"Bengali, North Indian",10,3.4,300.0
Owly,Koramangala,"Fast Food, North Indian",27,3.7,350.0
Chilli N Chicken,JP Nagar,Andhra,4,3.2,400.0
Hungry Nights,BTM,"Chinese, North Indian",54,3.0,300.0
Night Bell,South Bangalore,"Fast Food, North Indian",53,3.1,450.0
Uttara Karanataka Mess,JP Nagar,South Indian,5,3.3,200.0
Swad Restaurant,BTM,"Chinese, North Indian",115,3.7,550.0
Midnight Restro,BTM,"North Indian, Fast Food",55,3.4,500.0
Swad Plaza,BTM,"North Indian, Chinese",6,3.4,400.0
Red Bawarchi,BTM,"Biryani, Chinese, North Indian",21,3.0,600.0
Flavour of China,BTM,Chinese,254,3.8,550.0
Status,Bannerghatta Road,"North Indian, Chinese",67,3.3,600.0
BTM Bawarchi Biryani,BTM,"Biryani, North Indian, Chinese",132,3.5,600.0
New Grand Restaurant,BTM,"North Indian, South Indian, Biryani",11,3.1,500.0
Food Geek,Basavanagudi,"Sandwich, Fast Food, Rolls",25,3.8,350.0
Natuna Seafood House,Koramangala 5th Block,Seafood,76,4.2,450.0
Happy Chopsticks,Basavanagudi,"Chinese, Fast Food",17,3.6,300.0
Spicy World,JP Nagar,North Indian,7,3.4,200.0
Bhandary's Kitchen,Koramangala 7th Block,North Indian,16,3.6,300.0
Melt - Eden Park,JP Nagar,"North Indian, Chinese, Thai, Mughlai, Seafood",347,4.0,1000.0
Combo Box,Koramangala 7th Block,"North Indian, Biryani, Chinese",20,3.0,500.0
Desi Vibes,BTM,"North Indian, Chinese",46,3.7,600.0
Gharelu Zaika,JP Nagar,North Indian,22,3.7,250.0
Eshanya,Jayanagar,"North Indian, Chinese",1080,4.1,1000.0
HungerLoft,BTM,"North Indian, Chinese, Arabian",109,2.6,800.0
Banana Beach Bar,Koramangala 6th Block,"Continental, Chinese",1014,3.7,1300.0
Billionaires Cafe,Koramangala 5th Block,"Cafe, Italian",47,3.8,600.0
Mangalore Lunch Home,BTM,"North Indian, South Indian, Mangalorean",42,3.6,250.0
Kulfi & More,BTM,"Ice Cream, Beverages",47,3.7,200.0
Sagar Fast Food,BTM,"South Indian, Chinese, North Indian",67,3.7,300.0
Siddique Kabab Centre,Jayanagar,"Mughlai, Kebab, Chinese",68,3.1,550.0
Dice N Dine,Koramangala 5th Block,"Continental, Cafe, Italian, Fast Food, Steak",1805,4.3,900.0
Dakshin Kitchen,Basavanagudi,South Indian,15,3.6,100.0
South Kitchen,Basavanagudi,South Indian,276,4.3,100.0
Homely Curries & Pickles,BTM,"Biryani, Andhra",49,3.4,300.0
Maxpresso,Koramangala 7th Block,"Cafe, American, Italian, Beverages",323,4.1,700.0
Cafe Fattoush,BTM,"Cafe, Lebanese",24,3.8,700.0
Sandwich Shop,JP Nagar,"Fast Food, Burger, Sandwich",47,2.9,400.0
Juice Fresco,Koramangala 4th Block,Beverages,7,3.4,150.0
The Lassi Park,Jayanagar,"Juices, Desserts",184,4.1,200.0
Durbar Greens Family Restaurant,Hosur Road,"North Indian, Chinese, South Indian",10,3.6,700.0
The Cravery,JP Nagar,Cafe,18,2.6,500.0
Tongue Twisters,BTM,"Bengali, North Indian, Oriya",283,3.5,350.0
Kapoor's Biriyani,BTM,"Biryani, North Indian",334,3.3,400.0
Upahara Darshini,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food",40,3.9,600.0
The Juicy,JP Nagar,"Beverages, Juices",13,3.5,100.0
Akshaya Grand,BTM,North Indian,29,3.4,750.0
Targaryen's Kitchen,JP Nagar,"Chinese, North Indian, Mughlai",43,3.6,600.0
Shri Vinayaka Ice N Juice,Jayanagar,"Fast Food, Beverages",17,3.7,200.0
Nile Garden Restaurant,BTM,"North Indian, Fast Food, Chinese, Beverages",33,2.6,500.0
The Biriyani Factory,BTM,"North Indian, Biryani",30,3.1,500.0
Desi Cream Junction,Jayanagar,"Chinese, North Indian, Pizza, Italian",36,3.7,650.0
Breaktime Brew,Koramangala 7th Block,Cafe,24,3.7,550.0
Kickin Burger,Jayanagar,Fast Food,22,3.1,400.0
Kopper Kadai,Koramangala 5th Block,"North Indian, Chinese",1697,4.1,1200.0
Grow Fit,JP Nagar,"Healthy Food, North Indian, Thai",16,3.6,500.0
Baker's Glove,Jayanagar,"Desserts, Bakery",8,3.4,550.0
Limra Hotel,BTM,"Chinese, North Indian",26,3.3,300.0
Calvin's,Koramangala 5th Block,Desserts,431,3.8,800.0
Elmas Restaurant,Koramangala 7th Block,"North Indian, Kerala, Chinese, Biryani, Seafood, South Indian",34,3.5,650.0
Upahara Sagar,Jayanagar,"South Indian, North Indian, Chinese",25,3.0,300.0
Fritz Haber,South Bangalore,"Ice Cream, Desserts",4,3.4,450.0
Namms Cafe,Koramangala 2nd Block,"Biryani, South Indian, Fast Food, Rolls, Kebab, North Indian",8,3.2,300.0
Bajji House,HSR,Street Food,7,3.5,100.0
Om Sweets & Snacks,Koramangala 5th Block,"Mithai, Oriya, Bengali",34,3.9,150.0
Bottle Breacher,JP Nagar,"Italian, Continental",1197,4.2,1200.0
K27 - The Pub,Banashankari,"Chinese, North Indian",30,3.1,1000.0
Darbar,Banashankari,"North Indian, Chinese",98,3.0,800.0
VEGeatz,Banashankari,"South Indian, North Indian",19,3.4,200.0
The Little Kitchen,JP Nagar,"Chinese, North Indian",11,3.5,300.0
Heritage Cafe,Jayanagar,"Fast Food, Tea",11,3.6,200.0
Chef Master,Jayanagar,"Kerala, North Indian, Chinese",75,3.8,300.0
Adithya,Jayanagar,"North Indian, Chinese",9,3.2,400.0
Berry'd Alive,Koramangala 5th Block,Desserts,1899,4.3,400.0
Pabrai's Fresh & Naturelle Icecreams,Koramangala 5th Block,"Ice Cream, Desserts",128,3.9,200.0
Eat Sleep Eat Repeat,Koramangala 5th Block,"Chinese, North Indian, Continental",16,3.5,200.0
Checkpost,JP Nagar,"South Indian, Seafood, North Indian, Beverages",957,4.1,600.0
Dr. Sheesha,JP Nagar,"Cafe, Chinese, Continental, Italian",1453,4.1,800.0
Peppy Peppers,Banashankari,"Italian, North Indian, Mexican",256,4.2,800.0
Roving Feast,Banashankari,"Italian, Continental, Fast Food, Chinese, Momos",1048,4.0,450.0
Apsara Ice Cream,JP Nagar,"Ice Cream, Desserts",251,4.2,200.0
Navya Andhra Style Restaurant,Hosur Road,"North Indian, South Indian",12,3.5,200.0
Bakers Day,Basavanagudi,"Bakery, Desserts",48,3.9,200.0
Re Malnad Nati Style Hotel,JP Nagar,South Indian,16,3.6,400.0
Anjappar,JP Nagar,"Chettinad, South Indian",97,3.1,650.0
Malabar Cafe,Bannerghatta Road,"South Indian, Kerala, Biryani",4,3.3,400.0
Al Hayath,BTM,"North Indian, Chinese",17,3.5,200.0
Alfa Family Restaurant,Wilson Garden,"North Indian, Arabian, Chinese",29,3.0,400.0
Hungry Lion,Wilson Garden,"Street Food, Beverages",16,3.0,200.0
Avon Bar & Kitchen,BTM,"Andhra, Chinese, North Indian",104,3.7,700.0
Cafe Arabica,Bannerghatta Road,"Cafe, Bakery",69,3.8,700.0
Arun Icecreams,JP Nagar,Ice Cream,6,3.4,200.0
Upahar Sagar,Banashankari,"South Indian, Chinese, North Indian",39,3.8,350.0
Eat N Drink,BTM,Fast Food,87,3.8,250.0
Cariocake,JP Nagar,"Bakery, Desserts",56,3.9,350.0
Vijaya Sagar,Wilson Garden,"South Indian, North Indian, Chinese",15,3.6,300.0
California Burrito,JP Nagar,"Mexican, Fast Food",9,3.3,400.0
Daily Bread,JP Nagar,"Bakery, Fast Food, Italian",63,3.2,600.0
Jaganath Restaurant And Hotel,JP Nagar,North Indian,8,3.2,300.0
Beach Hut,JP Nagar,"North Indian, Chinese",134,3.5,650.0
Multi Cakes,JP Nagar,"Bakery, Desserts",44,3.7,200.0
Chatar Patar,Banashankari,"Fast Food, Street Food",65,3.7,300.0
Cake Art,JP Nagar,Bakery,27,2.9,400.0
The Sandesh Factory,Bannerghatta Road,"Mithai, Desserts",4,3.2,150.0
Rolls On Wheels,BTM,"Fast Food, Rolls, Momos",127,2.8,300.0
Thayee Touch,JP Nagar,"North Indian, Chinese, South Indian",30,3.6,450.0
Good Bread,JP Nagar,"Bakery, Desserts",14,3.6,300.0
Harshi Super Sandwich,Basavanagudi,"Fast Food, Street Food",149,3.8,150.0
Foodies Club,BTM,"South Indian, Chinese, North Indian, Sandwich, Rolls",5,3.4,300.0
Mast Kalandar,JP Nagar,North Indian,176,2.3,450.0
RP Sweets,BTM,Mithai,9,3.4,300.0
Jiyo Natural,South Bangalore,"Healthy Food, North Indian",14,3.6,300.0
Hearts Unlock Cafe,BTM,"Cafe, Healthy Food",11,3.2,500.0
Food Junction,BTM,"North Indian, Chinese, Street Food, Biryani",42,3.5,400.0
Shaahi Mezbaan Restaurant,BTM,North Indian,9,3.1,350.0
Little Shangai,Bannerghatta Road,"Chinese, North Indian, Fast Food",4,3.3,400.0
Dash In,BTM,"North Indian, Chinese, Kerala",53,3.1,600.0
Bruncherz,BTM,"North Indian, Chinese",15,3.5,200.0
SVR Foods - Night Ka Khana,JP Nagar,"North Indian, South Indian",15,3.5,400.0
Cafe Hush,BTM,"Cafe, Fast Food",22,3.6,500.0
What the Food,BTM,"North Indian, Chinese, Fast Food",38,3.6,250.0
Targaryen's Kitchen,JP Nagar,"North Indian, Bengali, Chinese",25,3.6,550.0
Snaxup Restaurant,BTM,"North Indian, Fast Food, Beverages",31,3.5,300.0
Durbari Restaurant,JP Nagar,"North Indian, Chinese, Mughlai",4,3.2,600.0
New Farm Fresh,BTM,"Italian, Pizza",34,3.6,650.0
Hot Burg,BTM,"Fast Food, Juices",14,3.5,300.0
Chai Mane,Basavanagudi,"Beverages, Sandwich",6,3.2,100.0
Amrutha Mess,BTM,Kerala,5,3.4,300.0
Yummy Momos,JP Nagar,"Chinese, Tibetan, Fast Food",4,3.2,200.0
Top Foam Parantha Roll & Juice Centre,BTM,"North Indian, Chinese, Fast Food, Rolls",13,3.5,300.0
Ambur Azad Darbar,BTM,"North Indian, Fast Food, Biryani",6,3.2,250.0
Oggarne,Wilson Garden,"South Indian, North Indian, Chinese",13,3.2,300.0
Amravathi Restaurants & Caterers,BTM,"North Indian, Chinese",6,3.1,400.0
Kwality Wall's Swirl's Happiness Station,Banashankari,"Ice Cream, Desserts",25,2.9,200.0
Tandoori Spot,JP Nagar,"North Indian, Chinese",13,3.5,500.0
Night Hunger,JP Nagar,North Indian,6,3.1,350.0
Shater Grill House,BTM,"North Indian, Arabian, Chinese",8,3.5,700.0
Ghee Rice Family Restaurant,Wilson Garden,"North Indian, Chinese, Biryani",16,3.4,600.0
Desi Bites,Bannerghatta Road,Street Food,4,3.3,200.0
South Indian Kitchen,JP Nagar,"Asian, BBQ, South Indian, Chinese",6,3.3,300.0
The Fresh Wok,BTM,Asian,10,3.3,600.0
Mongolian Kitchen,BTM,"Chinese, Mongolian",30,3.8,300.0
Gandharva Family Restaurant,Basavanagudi,"North Indian, Chinese",36,3.6,900.0
Grill N Chill,BTM,"North Indian, Chinese",17,3.1,400.0
The 90s Hash House,BTM,Cafe,63,3.8,500.0
Marunadan Kada,BTM,"Kerala, Tea",6,3.3,250.0
Ambur Hot Dum Biryani,BTM,Biryani,21,3.5,200.0
Deja Vu Resto Bar,Bannerghatta Road,"North Indian, Italian",2496,4.4,900.0
Desi Vdesi,BTM,"Fast Food, North Indian, Rolls",50,3.8,250.0
Sk Grand Hotel,Jayanagar,South Indian,6,3.2,400.0
As On Fire,South Bangalore,"Pizza, Fast Food, BBQ",41,3.5,400.0
Chaai Resto,Koramangala 5th Block,Beverages,16,2.7,300.0
Pakiza Dilli Darbar Restaurant,BTM,Biryani,13,3.2,300.0
Haji Ali Juice Centre,Koramangala 5th Block,"Beverages, Fast Food, Desserts",152,4.0,350.0
Juice Lounge,BTM,"Beverages, Healthy Food",28,3.1,250.0
Parivar,Jayanagar,"North Indian, Chinese",110,3.8,500.0
Sampoorna,JP Nagar,"Chinese, North Indian",70,3.6,600.0
Sakshi,Bannerghatta Road,"North Indian, Biryani, Chinese, Seafood",38,3.0,550.0
Al Habibi Restaurant,BTM,"North Indian, Chinese",17,3.5,300.0
Dakshin Food Palace,JP Nagar,"South Indian, North Indian, Chinese",43,3.7,450.0
Kamat Swaad,JP Nagar,"South Indian, North Indian, Chinese",194,3.9,400.0
J Spice,Banashankari,"North Indian, Chinese",59,3.8,750.0
Rimo,Koramangala 5th Block,"Tibetan, Asian, Momos",44,3.9,500.0
Lassi Magic,BTM,"Beverages, Sandwich",12,3.5,150.0
Special Biriyani,JP Nagar,"North Indian, Biryani",4,2.9,300.0
Namaste Kitchen,Koramangala 5th Block,"North Indian, South Indian, Chinese",172,3.8,400.0
BMR Hyderabad Biryani,BTM,Biryani,24,3.6,400.0
TangyLicious,BTM,Fast Food,16,2.6,400.0
New Andhra Spice,BTM,Andhra,22,3.6,600.0
Bullet Biryani,BTM,Biryani,9,3.2,300.0
Biryani Spot,BTM,"South Indian, Biryani",9,3.5,300.0
Parivaar,Koramangala 7th Block,"Biryani, North Indian, Chinese",20,2.9,600.0
Tandoor Nation,BTM,"North Indian, Chinese",39,3.0,400.0
Indian Kitchen Eateries-IKE,BTM,Fast Food,8,3.4,150.0
Tandoor Nation,BTM,"North Indian, Chinese",39,3.0,400.0
Indian Kitchen Eateries-IKE,BTM,Fast Food,8,3.4,150.0
Laa Raiba Restaurant,Bannerghatta Road,"Kerala, Chinese, South Indian",7,3.3,300.0
Great Indian Rolls,Basavanagudi,Rolls,4,3.3,100.0
RCS Kitchen,BTM,Continental,34,3.3,500.0
Dabba Karkhana,BTM,North Indian,17,3.5,300.0
Petoo,Jayanagar,"North Indian, Fast Food, Street Food",20,3.9,800.0
Insta Cafe,BTM,"Cafe, Continental, Pizza, Italian, Beverages",7,2.9,400.0
Tea Villa Cafe,Jayanagar,"Cafe, Continental, Mediterranean, Italian, Desserts",657,4.2,800.0
Milano Ice Cream,Jayanagar,"Ice Cream, Desserts",208,4.5,400.0
Thyme & Whisk,Jayanagar,"Asian, Chinese, Continental, Italian",74,3.9,800.0
Mane Holige,Jayanagar,"Mithai, South Indian",142,4.3,200.0
Maiyas,Jayanagar,"North Indian, South Indian, Fast Food, Juices",1782,4.0,200.0
Natural Ice Cream,Jayanagar,"Ice Cream, Beverages",369,4.4,200.0
Corner House Ice Cream,Jayanagar,"Ice Cream, Desserts",827,4.4,400.0
Cakewala,Jayanagar,"Bakery, Desserts",661,4.3,500.0
The Caramelts Cafe,Jayanagar,"Cafe, Salad, Wraps, Beverages",227,4.1,800.0
Amma's Pastries,Jayanagar,Bakery,245,4.2,400.0
Cool Joint,Jayanagar,"Beverages, Desserts",822,4.2,250.0
Bubblewrap Waffle Co.,Jayanagar,"Desserts, Beverages",360,4.4,400.0
The Ganache Factory,Jayanagar,"Desserts, Bakery",128,4.2,400.0
Polar Bear,Jayanagar,"Ice Cream, Desserts, Beverages, Sandwich",150,4.0,400.0
Mishra's Pedha Big Foods,Jayanagar,"Desserts, Mithai",56,3.9,200.0
Desi Rasoi,Jayanagar,"Biryani, North Indian, Chinese, Rajasthani",363,3.8,600.0
Dr. Bubbles,Jayanagar,"Beverages, Desserts",95,4.2,400.0
The Belgian Waffle Co.,Jayanagar,"Desserts, Beverages",151,3.8,350.0
Roll Over,Jayanagar,"Ice Cream, Beverages, Fast Food",439,4.1,500.0
Starbucks,Jayanagar,"Cafe, Desserts",109,4.1,700.0
Jalaram Sweets,Jayanagar,"Desserts, Mithai",32,3.8,250.0
Chocoberry,Jayanagar,"Ice Cream, Desserts, Beverages",56,3.5,400.0
Magic Meals,Jayanagar,"Fast Food, Desserts, Beverages",47,3.7,400.0
Krispy Kreme,Jayanagar,"Desserts, Beverages",253,4.0,300.0
Big Mishra Pedha,Jayanagar,Mithai,23,2.9,250.0
Iyengar Bakery,Jayanagar,"Bakery, Fast Food, Desserts, Beverages",28,3.7,200.0
Bakers77,Jayanagar,"Bakery, Fast Food",37,4.0,400.0
Keventers,Jayanagar,"Desserts, Beverages, Ice Cream",211,3.9,400.0
Ice Cream Works,Jayanagar,"Desserts, Ice Cream",193,4.1,300.0
The Studio Cafe,Jayanagar,"Cafe, Beverages",20,3.8,400.0
Baker's Glove,Jayanagar,"Desserts, Bakery",8,3.4,550.0
Sreeraj Lassi Bar,Jayanagar,"Beverages, Desserts",210,4.1,150.0
Durga Bikaner Sweets,Jayanagar,"Street Food, Mithai",15,3.7,100.0
Iyengar Bakery,Jayanagar,Bakery,44,3.7,200.0
Ice Stone Creamery,Jayanagar,"Desserts, Ice Cream",42,3.7,400.0
Ibaco,Jayanagar,Desserts,129,4.0,300.0
Sri Venkateshwara Sweet Meat Stall,Jayanagar,Street Food,201,4.1,250.0
Sri Annapoorna Bajji Center,Jayanagar,"Mithai, Street Food",15,3.9,100.0
Waffle Stories,Jayanagar,"Desserts, Beverages",251,4.2,300.0
Bunny Bakers,Jayanagar,"Bakery, Fast Food",31,3.6,250.0
Apsara Ice Cream,Jayanagar,"Ice Cream, Desserts",60,4.1,200.0
Baskin Robbins,Jayanagar,"Ice Cream, Desserts",25,3.6,250.0
Tummy Fuel,Jayanagar,"Cafe, Beverages, Fast Food",450,4.2,400.0
Divina - Eden Park Restaurants,Jayanagar,Desserts,147,4.0,400.0
Just Bake,Jayanagar,"Bakery, Desserts",32,3.8,400.0
Kanti Sweets,Jayanagar,"Mithai, Street Food",148,3.9,400.0
Anand Sweets and Savouries,Jayanagar,"Mithai, Street Food",84,3.9,400.0
Fudge,Jayanagar,"Desserts, Momos",12,3.2,200.0
Jodhpur Sweets,Jayanagar,"Mithai, Street Food, Rajasthani",10,2.9,150.0
KC Das - Klassic Foods,Jayanagar,"Mithai, Street Food",18,3.0,200.0
Bombay Kulfi,Jayanagar,"Desserts, Ice Cream",18,3.8,150.0
Butter Cup,Jayanagar,"Desserts, Bakery",9,3.5,250.0
Heritage Cafe,Jayanagar,"Fast Food, Tea",11,3.6,200.0
Cakeport,Jayanagar,Bakery,20,3.4,400.0
Me And My Cake,Jayanagar,"Bakery, Desserts",4,3.3,500.0
Freeze It,Jayanagar,Ice Cream,35,3.5,300.0
Pop Hop,Jayanagar,"Ice Cream, Desserts",205,4.1,300.0
Sihi Chocolaterie,Jayanagar,Desserts,26,3.7,300.0
Fitbakes,Jayanagar,"Bakery, Healthy Food",13,3.6,400.0
Meraki Patisserie,Jayanagar,"Bakery, Desserts",6,3.3,350.0
Kulfreeze,Jayanagar,"Ice Cream, Desserts",16,3.9,200.0
Mother Nature Kulfi,Jayanagar,"Desserts, Ice Cream",10,3.6,200.0
Cafe Coffee Day,Jayanagar,"Cafe, Fast Food",7,3.5,900.0
Two Friends Cauldron,JP Nagar,"Continental, Italian, American",459,4.1,700.0
Slate Cafe,JP Nagar,"Cafe, Sandwich, Burger",55,4.1,600.0
LayerBite,BTM,"Bakery, Desserts, Beverages",10,3.8,450.0
Poonam Sweets,Banashankari,Mithai,358,4.4,150.0
Crafted Plate,JP Nagar,"Cafe, Asian, Burger, Continental, Italian, Salad",239,4.2,600.0
CakeZone,BTM,"Bakery, Desserts",338,4.1,500.0
Old Mumbai Ice Cream,Banashankari,Ice Cream,38,4.0,150.0
Stoned Monkey,Banashankari,"Desserts, Ice Cream",865,4.3,500.0
Bakers Day,Basavanagudi,"Bakery, Desserts",48,3.9,200.0
Shri Ram Sweet Centre,BTM,"Street Food, Mithai",160,4.0,150.0
Sweet Truth,JP Nagar,"Bakery, Desserts",51,3.8,500.0
Smoor,Bannerghatta Road,"Desserts, Cafe, Beverages",18,3.6,900.0
Pancuzzi,JP Nagar,"Cafe, Beverages, Desserts",171,4.2,600.0
WAFL,Bannerghatta Road,"Cafe, Fast Food, Desserts, Beverages",41,4.0,400.0
World of Waffles,JP Nagar,Desserts,181,3.9,400.0
Rock Stone Ice Cream Factory,BTM,Ice Cream,131,4.0,230.0
TAB - Take A Break,JP Nagar,"Cafe, Continental, Italian",523,4.1,550.0
Shagun Sweets & Foods,BTM,"Mithai, North Indian, Street Food, Chinese",221,3.5,400.0
Taaza Mithai,JP Nagar,"Mithai, Street Food",48,3.9,100.0
The Chocolate Room,JP Nagar,"Cafe, Desserts",153,3.9,400.0
Cakes And Crumbs,JP Nagar,Bakery,8,3.4,350.0
Kirthi's Biryani,Banashankari,"Chinese, Cafe, Italian",145,3.8,700.0
Bun Town,BTM,"Cafe, Bakery",204,4.0,500.0
Cream Stone,JP Nagar,"Desserts, Beverages",321,4.0,500.0
Cafe Arabica,Bannerghatta Road,"Cafe, Bakery",69,3.8,700.0
Arun Icecreams,JP Nagar,Ice Cream,6,3.4,200.0
Sri Devi Baker's,BTM,"Bakery, Street Food",41,3.9,200.0
Cold Stone Creamery,Bannerghatta Road,"Ice Cream, Desserts",102,3.9,400.0
Cariocake,JP Nagar,"Bakery, Desserts",56,3.9,350.0
Asha Sweets Centre,JP Nagar,"Mithai, Street Food",42,3.9,250.0
Daily Bread,JP Nagar,"Bakery, Fast Food, Italian",63,3.2,600.0
Papacream,JP Nagar,"Desserts, Ice Cream",17,3.7,350.0
Mr. Meetharam,JP Nagar,"Mithai, Street Food",34,3.2,150.0
Venkateshwara Sweets and Restaurant,JP Nagar,"South Indian, Mithai, Chinese, North Indian",41,3.6,400.0
Ice Land,JP Nagar,"Ice Cream, Desserts",34,3.6,300.0
Kulfi & More,BTM,"Ice Cream, Beverages",47,3.7,200.0
Multi Cakes,JP Nagar,"Bakery, Desserts",44,3.7,200.0
Cake Art,JP Nagar,Bakery,27,2.9,400.0
Calvin's,JP Nagar,"Desserts, Italian, Pizza",231,2.9,800.0
The Sandesh Factory,Bannerghatta Road,"Mithai, Desserts",4,3.2,150.0
Frozen Bottle,JP Nagar,"Beverages, Desserts, Ice Cream",60,3.7,400.0
Bake Addiction,JP Nagar,"Bakery, Desserts",91,4.1,500.0
Waffle-A-Go Go,Banashankari,"Fast Food, Desserts, Ice Cream",70,3.9,400.0
Pabrai's Fresh and Naturelle Icecreams,BTM,"Ice Cream, Desserts",118,3.7,300.0
Mini Forest,JP Nagar,"Fast Food, Desserts",6,3.3,500.0
Good Bread,JP Nagar,"Bakery, Desserts",14,3.6,300.0
Shringar Sweets & Snacks,Basavanagudi,"Mithai, South Indian, Street Food, Fast Food",11,3.5,200.0
Thanco's Natural Ice Creams,Banashankari,Ice Cream,10,3.2,300.0
RP Sweets,BTM,Mithai,9,3.4,300.0
"Malnad Blossom, Coffee & Cream",JP Nagar,Cafe,33,3.8,300.0
Cake Yard,Basavanagudi,Desserts,30,3.4,250.0
Gelato Pazzo,BTM,Desserts,47,3.8,200.0
Mist n Creams,Bannerghatta Road,Ice Cream,10,3.6,400.0
M. R. G Sweets Angadi,JP Nagar,"Street Food, Mithai",9,3.3,150.0
Arun Ice Cream,Banashankari,"Ice Cream, Desserts",7,3.4,150.0
Kwality Wall's Swirl's Happiness Station,Banashankari,"Ice Cream, Desserts",25,2.9,200.0
Squeez Juice Bars,Bannerghatta Road,"Ice Cream, Juices",9,3.1,250.0
Bombay Kulfis,JP Nagar,Ice Cream,11,3.3,200.0
The Cake Shop Mayura,JP Nagar,"Bakery, Desserts",13,3.6,800.0
Juice Shop,BTM,"Juices, Beverages, Ice Cream",22,3.5,150.0
Protein Grillhouse,Jayanagar,"Healthy Food, Continental, Juices, Salad, Burger, Beverages, Desserts",191,4.3,800.0
Sea Lions BBQ & Grills,Jayanagar,"North Indian, Chinese, Mughlai, Mexican, BBQ",545,4.6,1100.0
Fusion Theory,Jayanagar,"Continental, Biryani, Desserts, Italian, North Indian, Chinese, Modern Indian, Asian",218,4.1,700.0
Subz,Jayanagar,"North Indian, South Indian",2031,4.2,1000.0
Meghana Foods,Jayanagar,"Biryani, North Indian, Chinese",4455,4.5,600.0
Gufha - The President Hotel,Jayanagar,"North Indian, Mughlai, Afghan",1889,4.1,1200.0
1947,Jayanagar,"North Indian, Chinese",2317,4.1,950.0
Go Native,Jayanagar,"Healthy Food, Cafe, Beverages",1268,4.3,800.0
Cable Car,Jayanagar,"North Indian, Italian",1257,4.3,1000.0
Chutney Chang,Jayanagar,"North Indian, Chinese, BBQ",2345,4.1,1500.0
Thyme & Whisk,Jayanagar,"Asian, Chinese, Continental, Italian",78,4.2,800.0
Al-Bek,Jayanagar,"North Indian, Mughlai, Chinese, Seafood",692,4.0,650.0
Ranganna Military Hotel,Jayanagar,"South Indian, Biryani",734,4.2,350.0
Kapoor's Cafe,Jayanagar,North Indian,169,4.0,800.0
Shanmukha,Jayanagar,"Biryani, Andhra, North Indian, Chinese",2020,4.3,800.0
Eshanya,Jayanagar,"North Indian, Chinese",1082,4.1,1000.0
Mainland China,Jayanagar,"Chinese, Momos",891,4.3,1700.0
Central Jail Restaurant,Jayanagar,"Andhra, Seafood, North Indian, Chinese",420,3.7,700.0
Andhra Ruchulu,Jayanagar,"Andhra, Biryani, North Indian, Chinese",672,4.1,1000.0
Alchemy Coffee Roasters,Jayanagar,Cafe,714,4.2,500.0
Brew Meister,Jayanagar,"North Indian, Continental, Finger Food, American, Asian",976,4.1,1500.0
Rooftop Cafe,Jayanagar,"Cafe, Fast Food, Beverages",803,4.1,400.0
Empire Restaurant,Jayanagar,"North Indian, Mughlai, South Indian, Chinese",4912,4.4,750.0
Moghul Durbar Restaurant,Jayanagar,"North Indian, BBQ, Kebab, Rolls",339,4.0,550.0
Jalpaan,Jayanagar,"North Indian, Continental",871,4.0,900.0
Nagarjuna Chimney,Jayanagar,"Andhra, Biryani",927,4.0,600.0
Biryanis And More,Jayanagar,"Biryani, North Indian, Chinese, Andhra, South Indian",620,4.1,750.0
Salut,Jayanagar,"Continental, Finger Food, Seafood, Pizza",446,4.1,1200.0
Fabcafe,Jayanagar,"Cafe, Healthy Food",11,3.8,800.0
Enerjuvate Studio & Cafe,Jayanagar,"Cafe, Continental, Beverages, Healthy Food, Desserts, Sandwich, Pizza, Salad",743,4.2,800.0
The Caramelts Cafe,Jayanagar,"Cafe, Salad, Wraps, Beverages",227,4.1,800.0
Cafe Cosy,Jayanagar,"Cafe, Chinese, Continental, Fast Food",117,4.2,800.0
Rajathadri Food Fort,Jayanagar,"South Indian, North Indian, Chinese, Street Food",469,4.0,600.0
Mangalore Pearl,Jayanagar,"Mangalorean, Seafood, Chinese, Biryani",245,3.8,650.0
Patio 805,Jayanagar,"Thai, Vietnamese, Asian, Chinese",370,4.0,1200.0
Eurasia Pasta and Barbeque by Little Italy,Jayanagar,"Italian, Fast Food, Salad, BBQ",1065,4.0,1200.0
Karma Kaapi,Jayanagar,"Beverages, Tea",184,4.5,250.0
Chung's Chinese Corner,Jayanagar,Chinese,225,3.9,600.0
SlimSins Cafe,Jayanagar,"Cafe, Healthy Food",715,4.1,850.0
Cafe Ajfan,Jayanagar,"Cafe, Continental, Beverages",268,4.2,700.0
